"BRANCHES","ID","STNAME","TOTAL","YEAR"
1594,"CB_2018_WA","Washington",33,"2018"
1663,"CB_2018_WI","Wisconsin",177,"2018"
555,"CB_2018_WV","West Virginia",48,"2018"
183,"CB_2018_WY","Wyoming",29,"2018"
117,"CB_2017_AK","Alaska",4,"2017"
1358,"CB_2017_AL","Alabama",116,"2017"
1260,"CB_2017_AR","Arkansas",96,"2017"
4,"CB_2017_AS","American Samoa",0,"2017"
1154,"CB_2017_AZ","Arizona",15,"2017"
6704,"CB_2017_CA","California",155,"2017"
1359,"CB_2017_CO","Colorado",76,"2017"
807,"CB_2017_CT","Connecticut",15,"2017"
212,"CB_2017_DC","District Of Columbia",3,"2017"
196,"CB_2017_DE","Delaware",19,"2017"
4842,"CB_2017_FL","Florida",124,"2017"
11,"CB_2017_FM","Federated States of Micronesia",1,"2017"
2157,"CB_2017_GA","Georgia",165,"2017"
18,"CB_2017_GU","Guam",2,"2017"
0,"CB_2017_HI","Hawaii",6,"2017"
1223,"CB_2017_IA","Iowa",292,"2017"
478,"CB_2017_ID","Idaho",12,"2017"
3820,"CB_2017_IL","Illinois",398,"2017"
1853,"CB_2017_IN","Indiana",84,"2017"
1131,"CB_2017_KS","Kansas",238,"2017"
1479,"CB_2017_KY","Kentucky",143,"2017"
1333,"CB_2017_LA","Louisiana",107,"2017"
1276,"CB_2017_MA","Massachusetts",18,"2017"
1423,"CB_2017_MD","Maryland",35,"2017"
257,"CB_2017_ME","Maine",6,"2017"
1,"CB_2017_MH","Marshall Islands",0,"2017"
2323,"CB_2017_MI","Michigan",89,"2017"
1321,"CB_2017_MN","Minnesota",292,"2017"
2015,"CB_2017_MO","Missouri",260,"2017"
8,"CB_2017_MP","Northern Mariana Islands",0,"2017"
1093,"CB_2017_MS","Mississippi",73,"2017"
331,"CB_2017_MT","Montana",48,"2017"
2303,"CB_2017_NC","North Carolina",34,"2017"
319,"CB_2017_ND","North Dakota",74,"2017"
880,"CB_2017_NE","Nebraska",169,"2017"
286,"CB_2017_NH","New Hampshire",5,"2017"
2257,"CB_2017_NJ","New Jersey",45,"2017"
412,"CB_2017_NM","New Mexico",36,"2017"
472,"CB_2017_NV","Nevada",15,"2017"
4238,"CB_2017_NY","New York",98,"2017"
3177,"CB_2017_OH","Ohio",120,"2017"
1073,"CB_2017_OK","Oklahoma",205,"2017"
969,"CB_2017_OR","Oregon",17,"2017"
375,"CB_2017_OT","Other Areas",9,"2017"
3256,"CB_2017_PA","Pennsylvania",101,"2017"
310,"CB_2017_PR","Puerto Rico",5,"2017"
2,"CB_2017_PW","Palau",0,"2017"
202,"CB_2017_RI","Rhode Island",5,"2017"
1213,"CB_2017_SC","South Carolina",41,"2017"
384,"CB_2017_SD","South Dakota",64,"2017"
1962,"CB_2017_TN","Tennessee",142,"2017"
